name,open,close,revenue
ElectroWorld,08:00,21:00,11047
FashionHub,10:00,21:00,7398
GourmetBites,10:00,21:00,14612
TechZone,11:00,19:00,41992
BookNest,09:00,21:00,33097
ToyPlanet,08:00,20:00,29313
ShoeStudio,08:00,20:00,23720
BeautyBar,08:00,19:00,15153
HomeLiving,09:00,20:00,45779
SportsMax,10:00,21:00,6489
MovieTime,09:00,23:00,12480
CafeCorner,09:00,19:00,9795
GadgetArena,09:00,23:00,41849
SmartStyle,11:00,23:00,8646
DailyMart,09:00,22:00,48249
KitchenKing,10:00,19:00,29977
PetParadise,09:00,23:00,17550
WatchWorld,08:00,19:00,15881
MusicStore,08:00,20:00,48962
SweetTreats,11:00,19:00,42312
 CozyHome,08:00,23:00,46792
TravelGear,09:00,21:00,37671
ArtGallery,09:00,20:00,6964
GameCenter,10:00,22:00,18374
FreshFoods,11:00,23:00,37492
MegaPhones,08:00,21:00,10891
StyleHouse,11:00,21:00,11601
UrbanWear,08:00,19:00,49791
OfficePlus,08:00,19:00,7416
HealthMart,11:00,22:00,48158
LuxuryScents,09:00,19:00,27780
FitNation,09:00,22:00,49433
BurgerBox,11:00,19:00,15257
PizzaPalace,09:00,23:00,49865
TeaHeaven,09:00,21:00,31646
ChocoWorld,08:00,20:00,17464
GiftStudio,10:00,22:00,31197
LampLight,10:00,21:00,41132
DenimStore,09:00,19:00,25600
CrystalCrafts,09:00,19:00,45519
GreenLeaf,11:00,20:00,30238
PhoneRepair,11:00,21:00,40898
CameraCity,08:00,20:00,12667
BagBoutique,10:00,19:00,26444
SneakerSpot,10:00,21:00,6085
LaptopHub,08:00,19:00,29057
DecorWorld,08:00,22:00,13845
OrganicMart,10:00,22:00,13636
PerfumePlace,11:00,22:00,28099
IceCreamShack,08:00,20:00,25899
